accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6980830430984497,0.5992975831031799,0.5893100500106812,0.740241289138794,0.7891226410865784,0.49018386006355286
0.7646432518959045,0.7596666812896729,0.4945291578769684,0.7806955575942993,0.8160776495933533,0.45042291283607483
0.782037615776062,0.8025808334350586,0.46078556776046753,0.7863733172416687,0.8238768577575684,0.44169527292251587
0.780795156955719,0.8123194575309753,0.4521459639072418,0.7821149826049805,0.8270285725593567,0.4382179081439972
0.7852325439453125,0.8149604797363281,0.4492160677909851,0.7849538922309875,0.8269975781440735,0.43728259205818176
0.7903798222541809,0.8228899240493774,0.4403577446937561,0.7849538922309875,0.8293406963348389,0.4351722300052643
0.7925097346305847,0.8267066478729248,0.438298761844635,0.7892122268676758,0.8310225009918213,0.43320176005363464
0.7944622039794922,0.8278590440750122,0.43650302290916443,0.7877927422523499,0.8321166038513184,0.43189460039138794
0.7949946522712708,0.8273236751556396,0.43701258301734924,0.7906316518783569,0.8336238861083984,0.42937859892845154
0.7951721549034119,0.8351047039031982,0.428594708442688,0.7913413643836975,0.8346869945526123,0.42900893092155457
0.7997869849205017,0.8336389064788818,0.4308890104293823,0.7913413643836975,0.8347296714782715,0.4283372461795807
0.7958821654319763,0.8363533020019531,0.42686668038368225,0.7977288961410522,0.8362318873405457,0.42686229944229126
0.7996095418930054,0.8384385108947754,0.4259602129459381,0.7948899865150452,0.8375093936920166,0.425400048494339
0.7957046627998352,0.8341107368469238,0.43181470036506653,0.7963094115257263,0.8369100093841553,0.42548292875289917
0.8001419901847839,0.8367121815681458,0.4279855489730835,0.7913413643836975,0.8382288217544556,0.4244832694530487
0.7987220287322998,0.8399316072463989,0.42388808727264404,0.7955996990203857,0.8390322923660278,0.4236306846141815
0.797834575176239,0.8405013680458069,0.42358332872390747,0.7970191836357117,0.8390283584594727,0.4234876334667206
0.7971246242523193,0.8382465243339539,0.4246665835380554,0.7955996990203857,0.8389289379119873,0.423214316368103
0.7999644875526428,0.8402600884437561,0.4239903688430786,0.7941802740097046,0.8395386338233948,0.42268651723861694
0.7996095418930054,0.8388869762420654,0.4251970648765564,0.7984386086463928,0.8393862247467041,0.4226897358894348
0.799077033996582,0.8390548229217529,0.4243268072605133,0.8005678057670593,0.8389831781387329,0.42311614751815796
0.8004969954490662,0.8398752808570862,0.4235423803329468,0.7977288961410522,0.8390645980834961,0.4228895604610443
0.8045793175697327,0.8447809219360352,0.41892209649086,0.7963094115257263,0.838729977607727,0.423208624124527
0.800319492816925,0.8447281122207642,0.4180794656276703,0.799858033657074,0.8384523391723633,0.4231128990650177
0.8054668307304382,0.8460898399353027,0.4169735908508301,0.7941802740097046,0.8375351428985596,0.42501330375671387
